"COLUMN1"	"COLUMN2"	"COLUMN3"
"2066856"	"1.5.1.1"	"273072;363390;18337;9207;2487;273072;80692;10525;17544;2487;18337;9207;2487;273072;80692;10525;17544;2487"
"225500"	"1.11.1.1"	"589012;123339;1387;9207;106332;159356;496421;1387;9207;106332;159356;123339;3824;106332;1387;9207;106332;159356;496421;1387;9207;106332;159356;123339;3824;106332"
"133006"	"8.2.4.2"	"49063;2613;1753;74112;103261;3824;12203;32425;41872;48832;415;18056;134661;53533;3824;48832;49063;2613;1753;74112;103261;3824;12203;32425;41872;48832;415;18056;134661;53533;3824;48832"
"1774678"	"1.5.3.8"	"523478;676177;651553;26916;3824;5741;271057;7931;18481;45008;26916;3824;5741;26916;3824;5741;271057;7931;18481;45008;26916;3824;5741"
"763886"	"1.5.2.1"	"663379;665921;319810;180985;8453;398841;319810;180985;8453;18285;319810;180985;8453;398841;319810;180985;8453;18285"
"1119919"	"1.12.1.2"	"254957;228412;228412;36;180985;11855;254957;228412;36;180985;11855;228412;36;180985;11855;254957;228412;36;180985;11855"
"1420529"	"1.6.2.2"	"695779;698568;562;7931;519;606;19;32169;68789;44968;681;1702;18305;681;46864;236900;17686;94843;2758;562;7931;519;606;19;32169;68789;44968;681;1702;18305;681;46864;236900;17686;94843;2758"
"1774371"	"1.6.2.2"	"533939;519;562;23389;407969;286262;463094;143732;125744;14376;87923;148717;111931;102663;239034;2919;419769;143118;87610;143118;172968;161435;436956;501059;241831;562;23389;407969;286262;463094;143732;125744;14376;87923;148717;111931;102663;239034;2919;419769;143118;87610;143118;172968;161435;436956;501059;241831"
"935692"	"1.6.2.1"	"8013;519027;7931;33824;19;32169;459591;33824;19;32169;681;32169;5582;10638;21039;179011;111045;32471;175614;692;7931;33824;19;32169;459591;33824;19;32169;681;32169;5582;10638;21039;179011;111045;32471;175614;692"
"1774419"	"1.6.2.2"	"8013;558415;636253;12203;4081;10422;234406;426;9207;4388;70621;35865;519;606;2652;33904;7898;18512;48177;472;1702;722;378378;636390;26094;12203;4081;10422;234406;426;9207;4388;70621;35865;519;606;2652;33904;7898;18512;48177;472;1702;722;378378;636390;26094"
"1068519"	"1.6.2.1"	"562997;522824;528385;7931;584;8013;93195;7931;584;8013;18079;19;8453;19;35365;15881;451;19;13137;1828;499687;631;13719;83490;355;176954;7931;584;8013;93195;7931;584;8013;18079;19;8453;19;35365;15881;451;19;13137;1828;499687;631;13719;83490;355;176954"
"1478573"	"1.6.2.2"	"28916;402731;712073;40649;33824;8013;130041;453124;33824;8013;28916;10638;19;40649;172;146498;69;291573;146498;2117;112240;40649;33824;8013;130041;453124;33824;8013;28916;10638;19;40649;172;146498;69;291573;146498;2117;112240"
"142418"	"1.6.2.2"	"8013;33136;65806;8013;33824;8013;21039;494968;1607;281;37041;10525;33136;19;5619;65806;48559;33136;65806;8013;33824;8013;21039;494968;1607;281;37041;10525;33136;19;5619;65806;48559"
"966041"	"1.6.2.3"	"195339;221976;4081;28916;174259;4081;28916;19;32169;68789;4081;221976;2440;45535;491369;7931;1753;18337;1348;39653;53362;91648;885;91648;3180;451;40075;162337;21039;885;519;5309;4528;13137;4081;28916;174259;4081;28916;19;32169;68789;4081;221976;2440;45535;491369;7931;1753;18337;1348;39653;53362;91648;885;91648;3180;451;40075;162337;21039;885;519;5309;4528;13137"
"1893525"	"1.6.2.1"	"8013;653441;7931;19;32169;94174;19;32169;68789;44968;681;1702;509901;17686;94843;2758;7931;19;32169;94174;19;32169;68789;44968;681;1702;509901;17686;94843;2758"
"1349770"	"1.6.2.2"	"619869;195339;7931;19;3697;19;32169;36;928;46864;479317;479317;19;17686;94843;2758;7931;19;3697;19;32169;36;928;46864;479317;479317;19;17686;94843;2758"
"1290320"	"1.6.2.2"	"682164;195339;12203;7931;8013;19;32169;4697;1702;730;79690;1702;10638;302;300832;88769;102438;302;300832;45877;37263;96514;94598;681;38560;42228;48177;730;79690;636390;88769;102438;45877;198854;90168;2348;48177;730;636390;12203;7931;8013;19;32169;4697;1702;730;79690;1702;10638;302;300832;88769;102438;302;300832;45877;37263;96514;94598;681;38560;42228;48177;730;79690;636390;88769;102438;45877;198854;90168;2348;48177;730;636390"
"373065"	"1.6.2.2"	"632876;557275;7931;4697;1702;4697;1702;102865;33824;19;32169;519;34818;451;69;325;202445;33904;264;451;37015;247252;726;519;7931;4697;1702;4697;1702;102865;33824;19;32169;519;34818;451;69;325;202445;33904;264;451;37015;247252;726;519"
"2271982"	"1.6.2.1"	"8013;12203;8013;371484;8013;15881;451;112661;229586;16541;12203;8013;371484;8013;15881;451;112661;229586;16541"
"1774434"	"1.6.2.2"	"8013;585821;581843;19;606;28531;32169;6183;19;606;28531;32169;68789;18305;681;46864;24357;11119;9;28531;91009;58628;38;437;606;4161;6183;519;606;4710;8453;24357;43945;4710;673;19;606;28531;32169;6183;19;606;28531;32169;68789;18305;681;46864;24357;11119;9;28531;91009;58628;38;437;606;4161;6183;519;606;4710;8453;24357;43945;4710;673"
"731361"	"1.6.2.2"	"519;577874;6183;8013;8013;30825;451;7978;198100;29620;6183;8013;8013;30825;451;7978;198100;29620"
"1452772"	"1.6.2.1"	"8013;28916;573190;6183;8013;8013;28916;59905;16222;10638;236326;111459;177996;181;795;1287;1100;1287;2554;415672;61926;1100;288917;7357;4804;196852;6183;8013;8013;28916;59905;16222;10638;236326;111459;177996;181;795;1287;1100;1287;2554;415672;61926;1100;288917;7357;4804;196852"
"638564"	"1.6.2.2"	"8013;579492;33824;19;41058;33824;19;32169;16222;10638;19;264;172;111045;200209;19;606;94843;33824;19;41058;33824;19;32169;16222;10638;19;264;172;111045;200209;19;606;94843"
"1869896"	"1.6.2.2"	"8013;659808;415;8013;19;544;39928;44057;89908;75877;26124;681;415;415;8013;19;544;39928;44057;89908;75877;26124;681;415"
"1774424"	"1.6.2.2"	"703654;642215;210013;834;8013;134670;8013;937;606;16222;210013;834;8013;134670;8013;937;606;16222"
"1774406"	"1.6.2.1"	"15351;8013;6183;8013;228129;798;32169;17409;6183;8013;6183;8013;228129;798;32169;17409;6183;8013"
"1775081"	"1.6.2.3"	"338857;17409;91213;16222;4651;17409;91213;16222;33824;8013;4081;3697;17409;91213;16222;4651;17409;91213;16222;33824;8013;4081;3697"
"1775062"	"1.6.2.1"	"626669;682544;696177;3824;19;118989;88872;18305;8013;3824;12203;209;19;118989;6539;3824;19;118989;88872;18305;8013;3824;12203;209;19;118989;6539"
"1775063"	"1.6.2.1"	"572694;550305;572692;17409;7931;8013;398928;17409;7931;8013;10638;24714;23;193154;13896;17409;7931;8013;398928;17409;7931;8013;10638;24714;23;193154;13896"
"1774704"	"1.2.2.1"	"3697;625541;7931;13970;3697;29573;15309;468735;30491;411743;471188;449340;436762;318212;111814;7931;13970;3697;29573;15309;468735;30491;411743;471188;449340;436762;318212;111814"
"878336"	"1.9.2.6"	"297361;44240;3697;7931;51067;32169;130040;7931;51067;32169;18305;44240;195409;4309;7931;51067;32169;130040;7931;51067;32169;18305;44240;195409;4309"
"599952"	"1.9.2.1"	"232449;539252;671302;6183;14976;232449;6183;14976;3824;14976;8058;17154;1248;117219;14976;6183;14976;232449;6183;14976;3824;14976;8058;17154;1248;117219;14976"
"643400"	"8.1.3.4"	"314155;178434;9450;8661;22158;56388;8661;22158;8661;22158;56388;8661;22158"
"833346"	"1.1.1.2"	"282578;399868;645301;45142;16620;2487;282578;45142;16620;23823;2487;45142;16620;2487;282578;45142;16620;23823;2487"
"1774905"	"1.10.3.2"	"151885;178059;318029;4158;261138;3824;292198;23970;892;497407;137063;2487;178059;318029;3824;126375;7745;4158;21781;3824;726;2536;44964;42743;4158;178059;318029;4158;261138;3824;292198;23970;892;497407;137063;2487;178059;318029;3824;126375;7745;4158;21781;3824;726;2536;44964;42743;4158"
"2404454"	"1.11.5.3"	"575885;575907;598;12253;8453;233783;3824;598;12253;598;3824;8453;448392;73677;598;12253;8453;233783;3824;598;12253;598;3824;8453;448392;73677"
"1774532"	"1.4.1.1"	"5211;155009;12203;6183;561;54700;561;12203;28531;12397;19685;12203;6183;561;54700;561;12203;28531;12397;19685"
"1774485"	"1.11.2.1"	"116443;221635;180985;18285;230313;180985;18285;180985;18285;230313;180985;18285"
"505220"	"8.1.2.4"	"687856;277085;7297;178;1753;15298;8756;7297;178;1753;15298;7297;178;1753;15298;8756;7297;178;1753;15298"
"2412489"	"1.15.1.2"	"705787;148347;6016;5300;5273;3824;148347;7503;5300;5273;7382;6358;250146;58883;31581;309;133358;18594;21489;148347;11061;117760;310490;2064;228;1962;231507;125148;148347;1353;148347;6016;5300;5273;3824;148347;7503;5300;5273;7382;6358;250146;58883;31581;309;133358;18594;21489;148347;11061;117760;310490;2064;228;1962;231507;125148;148347;1353"
"1774454"	"1.4.2.2"	"100947;635165;528766;12203;51835;35379;12203;3203;32176;1370;347;21844;174;463631;222176;503029;103189;125943;232433;167;13;415480;451;12203;51835;35379;12203;3203;32176;1370;347;21844;174;463631;222176;503029;103189;125943;232433;167;13;415480;451"
"1601673"	"1.4.4.2"	"49792;3697;5582;472;3697;5582;197048;7122;49792;472;3697;5582;39653;35639;20553;2568;22279;77207;22279;125419;201043;94051;799;271;44240;203564;472;3697;5582;197048;7122;49792;472;3697;5582;39653;35639;20553;2568;22279;77207;22279;125419;201043;94051;799;271;44240;203564"
"265370"	"1.4.1.4"	"20277;553194;593124;12152;327655;561;20277;12152;327655;561;213525;267176;429838;38276;245133;2386;429032;101456;18512;12152;48094;117608;472;4773;12152;327655;561;20277;12152;327655;561;213525;267176;429838;38276;245133;2386;429032;101456;18512;12152;48094;117608;472;4773"
"1774521"	"1.1.1.2"	"212437;60705;449;2175;1107;26433;65986;2175;2083;2175;1107;18305;9450;449;26433;2175;1107;26433;65986;2175;2083;2175;1107;18305;9450;449;26433"
"1774552"	"4.2.5.2"	"625513;63560;10697;186;114253;892;440291;10697;54312;313071;186;114253;892;10697;186;114253;892;440291;10697;54312;313071;186;114253;892"
"1774484"	"1.11.3.3"	"75776;673138;650512;297;858;5741;75776;297;858;9207;5741;20914;107216;297;858;5741;75776;297;858;9207;5741;20914;107216"
"1775039"	"1.4.1.1"	"599391;544111;382261;995;70413;7454;65420;561;995;70413;171;197408;995;70413;7454;722;10638;382261;32169;3824;995;70413;7454;65420;561;995;70413;171;197408;995;70413;7454;722;10638;382261;32169;3824"
"1774847"	"1.5.1.2"	"15783;2536;537561;1810;2536;107618;5300;5273;15783;2536;537561;1810;2536;107618;5300;5273"
"1774518"	"1.1.1.2"	"690119;9450;178434;52784;10796;53317;204104;8676;52784;10796;53317;52784;10796;53317;204104;8676;52784;10796;53317"
"1775089"	"1.4.2.2"	"75;26124;7931;3047;3203;34003;3203;75;148056;1370;69007;250057;313388;75;76186;79215;204391;146683;106573;2348;82184;5805;7304;1678;7931;3047;3203;34003;3203;75;148056;1370;69007;250057;313388;75;76186;79215;204391;146683;106573;2348;82184;5805;7304;1678"
"789134"	"8.2.4.9"	"17409;79660;415;773;1753;52076;135743;25085;764;148790;326789;418578;494614;78163;59303;510124;3572;297;18286;11796;44964;21039;17409;79660;415;773;1753;17409;79660;415;773;1753;52076;135743;25085;764;148790;326789;418578;494614;78163;59303;510124;3572;297;18286;11796;44964;21039;17409;79660;415;773;1753"
"1774856"	"1.5.1.1"	"225596;684989;34541;3052;322088;974;225596;6183;3052;610;3052;322088;974;3052;322088;974;225596;6183;3052;610;3052;322088;974"
"1774795"	"1.5.1.1"	"675767;550266;294249;37005;315433;7297;77064;1979;97706;37030;294249;1014;45983;11595;37005;294249;37005;315433;7297;77064;1979;97706;37030;294249;1014;45983;11595;37005"
"1637775"	"1.5.2.3"	"75374;2531;6183;3052;26433;45615;6183;3052;26433;2531;6183;3052;26433;45615;6183;3052;26433;2531"
"1244528"	"1.13.1.1"	"26677;1316;5587;37271;7753;5406;26677;306326;37271;36527;2487;232277;495225;1953;352890;34424;2487;235227;14241;10991;63387;1316;30668;37271;7753;5406;37271;7753;5406;26677;306326;37271;36527;2487;232277;495225;1953;352890;34424;2487;235227;14241;10991;63387;1316;30668;37271;7753;5406"
"777229"	"1.12.1.3"	"355993;478119;17409;18305;36;32169;130178;18305;36;32169;3571;125627;1438;1753;6183;9450;2368;473179;39653;456759;499717;111021;17409;4516;425770;111021;55661;17409;18305;36;32169;130178;18305;36;32169;3571;125627;1438;1753;6183;9450;2368;473179;39653;456759;499717;111021;17409;4516;425770;111021;55661"
"2383396"	"1.12.1.2"	"377447;355993;1947;1947;36;6176;377447;3571;125627;1438;6183;9450;83490;6183;36;32169;1947;36;41889;6176;1947;36;6176;377447;3571;125627;1438;6183;9450;83490;6183;36;32169;1947;36;41889;6176"
"1099774"	"1.12.4.5"	"682000;234901;159343;297;2896;18285;170378;297;2896;18285;9207;36169;2758;30552;61029;297;2896;18285;170378;297;2896;18285;9207;36169;2758;30552;61029"
"1928843"	"1.12.4.5"	"88986;61743;539049;102306;2965;5741;91208;102306;2965;12178;14583;9207;5741;3824;79660;36697;36;50749;199157;3451;44240;529;102306;2965;5741;91208;102306;2965;12178;14583;9207;5741;3824;79660;36697;36;50749;199157;3451;44240;529"
"1862665"	"8.1.2.4"	"602635;577746;4081;534;64163;2578;495867;37041;70488;2578;45142;16620;65434;2487;37041;35863;5520;64163;6176;4081;534;64163;2578;495867;37041;70488;2578;45142;16620;65434;2487;37041;35863;5520;64163;6176"
"1774953"	"1.2.2.1"	"693195;551946;1629;23970;6874;99596;1014;1540;3824;1629;23970;6874;35936;3697;18305;2348;32169;30491;1629;52714;5493;93822;135929;1629;35936;1629;23970;6874;99596;1014;1540;3824;1629;23970;6874;35936;3697;18305;2348;32169;30491;1629;52714;5493;93822;135929;1629;35936"
"252755"	"1.6.2.2"	"680638;519;74432;287490;2057;175791;2896;3824;14583;9207;6183;2531;237962;75818;19;47454;44766;75818;91403;49261;30825;36697;681;19;1979;2965;2331;26124;36;97547;1518;1802;50749;43945;48832;41889;74432;287490;2057;175791;2896;3824;14583;9207;6183;2531;237962;75818;19;47454;44766;75818;91403;49261;30825;36697;681;19;1979;2965;2331;26124;36;97547;1518;1802;50749;43945;48832;41889"
"936088"	"1.6.2.1"	"8013;659797;633097;4081;19;28916;284990;4081;8013;28916;10638;479300;2181;755;441251;7456;69007;260755;205651;17409;32425;415;19;18337;1753;562;53362;34818;4081;19;28916;284990;4081;8013;28916;10638;479300;2181;755;441251;7456;69007;260755;205651;17409;32425;415;19;18337;1753;562;53362;34818"
"1775011"	"1.4.9.2"	"254337;195099;334106;6183;610;974;16360;37888;17713;62372;454;974;6183;610;974;16360;37888;17713;62372;454;974"
"1774916"	"8.1.3.3"	"48559;9450;18305;1810;9450;113789;15309;63301;462013;210048;8053;32169;54572;9450;43604;9726;33136;534;16880;7443;11384;3824;15339;297;16620;124977;30095;1927;37041;70488;41492;16620;110793;120087;18337;203564;18305;1810;9450;113789;15309;63301;462013;210048;8053;32169;54572;9450;43604;9726;33136;534;16880;7443;11384;3824;15339;297;16620;124977;30095;1927;37041;70488;41492;16620;110793;120087;18337;203564"
"172508"	"1.12.4.5"	"25250;5741;25250;5741;18285;33483;25250;3572;5741;18285;25250;5741;18285;33483;25250;3572;5741;18285"
"1775102"	"1.3.1.1"	"237499;69950;6112;21246;18169;6112;237499;773;41063;18305;57742;773;41063;48832;1730;21246;18169;6112;237499;773;41063;18305;57742;773;41063;48832;1730"
"2246873"	"4.2.1.1"	"69950;305062;7931;458877;17686;21246;18169;49389;47575;106170;94619;3824;773;3572;9207;21246;2362;8327;14583;9207;36103;18169;773;60131;91403;249496;49389;416035;9207;7931;458877;17686;21246;18169;49389;47575;106170;94619;3824;773;3572;9207;21246;2362;8327;14583;9207;36103;18169;773;60131;91403;249496;49389;416035;9207"
"441320"	"1.11.2.5"	"13393;552994;816;180985;18285;430991;816;180985;18285;511376;816;180985;18285;430991;816;180985;18285;511376"
"1774486"	"1.11.1.2"	"622029;8108;37125;12178;8108;39794;37125;12178;8108;37125;12178;8108;39794;37125;12178;8108"
"1939130"	"1.1.2.3"	"3824;33313;7492;53131;25838;194402;182;20176;31478;87220;182;3824;33313;7492;53131;25838;194402;182;20176;31478;87220;182"
