"COLUMN1"	"COLUMN2"	"COLUMN3"	"COLUMN4"	"COLUMN5"
"1119157"	"1986"	"1"	"1"	"44;92;35;100;48;79;113;123;55;75"
"1137913"	"1991"	"1"	"117"	"13227;1141;22;21419;3111;3;1406;76887;2"
"1144571"	"1990"	"1"	"64"	"77;97;55;71;51;75;114;83;105;104"
"1152440"	"1891"	"1"	"32"	"0"
"1153257"	"1990"	"1"	"112"	"203812;51;7408;63635;13827;107168"
"1159334"	"1892"	"1"	"124"	"2;5;41;42;35;58;122;28;86"
"1168352"	"1988"	"1"	"7"	"0"
"1170027"	"1990"	"1"	"30"	"0"
"1175089"	"1990"	"2"	"276"	"20"
"1175250"	"1990"	"1"	"8"	"0"
"1178527"	"1989"	"1"	"0"	"8;4;2;24;18;1170;1;43"
"1180227"	"1962"	"1"	"33"	"0"
"1181753"	"1989"	"1"	"47"	"0"
"1186870"	"1993"	"2"	"151"	"61;83;1"
"1198224"	"1993"	"1"	"352"	"24;75;33;6;84;21;106;108;80"
"1208441"	"1990"	"1"	"47"	"0"
"1213380"	"1992"	"2"	"23"	"0"
"1217274"	"1991"	"1"	"314"	"54;80;114;2;97;1;41;51;106;6"
"1222452"	"1986"	"1"	"170"	"83"
"1224117"	"2002"	"1"	"111"	"6;2;38;34;97;86;54;32;104;1"
"1224797"	"2011"	"1"	"144"	"77;105;110;84;61;83;71;55;97;51"
"1236813"	"1986"	"1"	"0"	"0"
"1241808"	"1991"	"1"	"219"	"1;10"
"124181"	"1996"	"1"	"832"	"11;62;2;53;33;6;4;14;1;18"
"1242066"	"1990"	"1"	"104"	"34;2468;55;4;5;1;14;38"
"1245393"	"1988"	"2"	"84"	"0"
"1250073"	"1985"	"1"	"3"	"0"
"1250074"	"1926"	"1"	"9"	"0"
"1250548"	"1990"	"1"	"18"	"75;78;83;63;77;104;80;41;48"
"1252376"	"1989"	"1"	"281"	"0"
"1254547"	"1985"	"1"	"18"	"0"
"1255377"	"1988"	"1"	"17"	"0"
"1258483"	"1984"	"2"	"55"	"0"
"126121"	"1989"	"2"	"3"	"0"
"1266289"	"1991"	"1"	"156"	"0"
"1268625"	"1990"	"1"	"4"	"0"
"1278223"	"1997"	"1"	"123"	"0"
"1297786"	"2010"	"1"	"860"	"23;5;1;48;6;18;11;867;4;416160"
"1298752"	"1988"	"1"	"312"	"48;16;41;55;26;42;92;6;78;11"
"1305811"	"1987"	"1"	"40"	"106;120;11;16;48;41;2;103;97;125"
"130812"	"1990"	"1"	"75"	"2989;64427;11592"
"1309056"	"1994"	"1"	"171"	"51;1;11;6;28"
"1313955"	"2010"	"1"	"88"	"2266;874;611;112;600;80;78"
"1322068"	"1989"	"2"	"384"	"25;38;19;5;19550;21;1;14;3;18"
"1323207"	"1988"	"1"	"124"	"35;271933;63;113;6;8;42;44;41;31"
"1323248"	"1961"	"1"	"672"	"2;7;21;41;49;5;10;1"
"1323605"	"1991"	"1"	"274"	"0"
"1323830"	"1991"	"1"	"15"	"0"
"1325927"	"1988"	"1"	"76"	"0"
"1328692"	"1987"	"1"	"6"	"0"
"1333367"	"0-0-"	"0"	"28"	"0"
"133702"	"1995"	"1"	"183"	"0"
"134376"	"1975"	"1"	"60"	"0"
"1345371"	"1990"	"1"	"25"	"0"
"1348527"	"2010"	"2"	"1431"	"0"
"1349179"	"1990"	"1"	"75"	"0"
"1352171"	"1996"	"1"	"10"	"0"
"1352488"	"1990"	"2"	"54"	"80;51;117;77;75;78;105;71;55;104"
"1355493"	"2010"	"1"	"369"	"12"
"1360068"	"1987"	"1"	"55"	"0"
"1361806"	"1997"	"1"	"308"	"0"
"1378108"	"1910"	"1"	"171"	"0"
"1386860"	"1966"	"1"	"46"	"0"
"1387336"	"2005"	"1"	"426"	"0"
"1389257"	"1981"	"1"	"180"	"51;84;78;55;80;75;71;77"
"1390343"	"2011"	"1"	"25"	"165;15344;13372;3126;133;5704;11"
"1404366"	"1990"	"1"	"79"	"0"
"1410459"	"1989"	"1"	"92"	"0"
"1410494"	"1900"	"1"	"24"	"0"
"1418563"	"1989"	"1"	"71"	"0"
"142453"	"1991"	"2"	"0"	"0"
"1429700"	"1984"	"1"	"259"	"48;1;38;7;22;8;4;2;11;43"
"1434274"	"1993"	"1"	"248"	"0"
"1440168"	"1979"	"1"	"1254"	"13;1;287;2;30;63;85;45;5"
"1447910"	"1977"	"1"	"30"	"26;39;36"
"1455990"	"1991"	"2"	"3"	"0"
"1458075"	"2011"	"1"	"194"	"0"
"1460134"	"1981"	"1"	"152"	"309;1530"
"1465834"	"1982"	"1"	"28"	"0"
"1466528"	"1997"	"1"	"16"	"0"
"1469067"	"1990"	"1"	"473"	"1;4;11;2"
"1469639"	"1993"	"1"	"317"	"0"
"1471211"	"1990"	"1"	"18"	"104;75;55;51;78;77;80;83;84;71"
"147868"	"1971"	"1"	"73"	"0"
"1494994"	"1892"	"2"	"95"	"0"
"1499138"	"1990"	"1"	"25"	"0"
"1508913"	"1987"	"1"	"13"	"4;25;48;13;5;2;1;35;87;3"
"1509615"	"1976"	"1"	"257"	"4;21"
"1512132"	"1987"	"2"	"590"	"0"
"1515637"	"2011"	"1"	"1140"	"201538"
"1516756"	"1983"	"2"	"248"	"935;105;80;77"
"1532875"	"1992"	"1"	"26"	"25;1;11;2;6;5;51;102;4;33"
"1537797"	"1987"	"2"	"32"	"0"
"155083"	"1902"	"2"	"126"	"0"
"1551309"	"1987"	"1"	"34"	"22;26;122;85;113;42;61;55;35;120"
"1551985"	"1990"	"1"	"12"	"0"
"1556780"	"1991"	"2"	"416"	"1;18;3;10"
"1560797"	"1892"	"1"	"39"	"106;77;96"
"1562266"	"1986"	"1"	"57"	"0"
"1565349"	"1984"	"1"	"9"	"0"
"1565716"	"1989"	"1"	"35"	"0"
"1566640"	"1986"	"1"	"81"	"0"
"1567776"	"1991"	"1"	"32"	"114;55"
"1569063"	"1990"	"1"	"94"	"106612;139;36348;8818;51;71;5523;180347"
"1572602"	"1982"	"1"	"29"	"0"
"1575856"	"1990"	"1"	"21"	"0"
"1577712"	"1993"	"1"	"116"	"0"
"1581588"	"1988"	"1"	"42"	"3;2;41;11;1;4;7;22;5;35"
"1581892"	"1991"	"1"	"44"	"0"
"1590403"	"1990"	"1"	"54"	"0"
"1595883"	"1986"	"1"	"24"	"0"
"1600847"	"1991"	"1"	"25"	"0"
"1735779"	"1987"	"1"	"32"	"84;62529;188925;78;107;80;102;44157;104;52975"
"1742370"	"2000"	"2"	"115"	"0"
"1871546"	"1909"	"1"	"19"	"20;4;6;13;17;2;25;5;1;7"
"1993490"	"2010"	"1"	"12"	"0"
"2088863"	"0-0-"	"0"	"19"	"0"
"2123696"	"1998"	"1"	"188"	"0"
"1601733"	"1974"	"2"	"51"	"0"
"1609963"	"2011"	"1"	"0"	"0"
"1617354"	"1982"	"1"	"444"	"287210;366098;112101;403560;252026"
"1617507"	"1978"	"1"	"34"	"0"
"1618522"	"1995"	"1"	"34"	"0"
"1620129"	"1983"	"1"	"20"	"30;9;8;40;3;5;49;13;55;21"
"1621590"	"1991"	"1"	"81"	"80;78;101;61;77;106;51;71;55;84"
"1625774"	"1994"	"1"	"16"	"0"
"162781"	"1990"	"1"	"684"	"16;42;44;120;55;112784;77;93;35;92"
"1638196"	"1990"	"1"	"35"	"0"
"1644782"	"1991"	"1"	"17"	"55;117;51;3480;77;71"
"1645297"	"2009"	"1"	"33"	"114"
"1645311"	"1989"	"1"	"102"	"0"
"1645349"	"1977"	"1"	"68"	"0"
"1649039"	"1892"	"1"	"4"	"0"
"1656303"	"1988"	"1"	"24"	"0"
"1661177"	"1984"	"1"	"55"	"0"
"1668725"	"1971"	"2"	"5"	"0"
"1670376"	"1990"	"1"	"7"	"0"
"1673109"	"1994"	"2"	"51"	"44;1;88;64;6;2"
"1675114"	"1983"	"1"	"63"	"0"
"1676777"	"1985"	"1"	"107"	"0"
"1680325"	"1999"	"1"	"88"	"0"
"1688764"	"2008"	"1"	"499"	"24;20;39;16;57;37;74"
"1690582"	"0-0-"	"1"	"115"	"0"
"1690986"	"2005"	"2"	"1"	"0"
"1691265"	"1994"	"1"	"158"	"48;7839;2489;9;18;6;7420"
"1693299"	"1990"	"1"	"63"	"12;42;1;71;6;22;10;15;10157;78"
"1698675"	"1993"	"1"	"43"	"10;252508;57560;83;6;1;2;11;56;28275"
"1704697"	"1985"	"1"	"151"	"0"
"1708133"	"2010"	"1"	"98"	"110;83;61;101;102;112;106;114;78;80"
"1709611"	"1978"	"1"	"137"	"51;104;55;71;77;92811;105;78;80;75"
"1709714"	"1986"	"1"	"2"	"8;86;54;79;115;429224;48;95;41"
"1710269"	"1985"	"1"	"438"	"55;61;84;75;107;97;51;105;71"
"171202"	"1997"	"1"	"197"	"186483;19615"
"1712348"	"1988"	"1"	"11"	"0"
"1712419"	"1986"	"1"	"56"	"0"
"1713676"	"1989"	"1"	"94"	"95"
"1719178"	"1989"	"1"	"35"	"0"
"1720272"	"1983"	"1"	"16"	"65415"
"172105"	"2011"	"1"	"16"	"0"
"1723055"	"1987"	"1"	"43"	"0"
"173006"	"1982"	"1"	"99"	"0"
"1730893"	"1979"	"2"	"73"	"30"
"1736693"	"1995"	"1"	"286"	"0"
"1737576"	"1982"	"1"	"88"	"0"
"173886"	"1962"	"1"	"0"	"114;102;101;90;106;61;107;100;97;96"
"1743677"	"1994"	"2"	"282"	"0"
"1750534"	"1992"	"1"	"264"	"12;19;3;18;4;2;43;49;1"
"1760313"	"1980"	"1"	"508"	"43;7;25;2;10;34;18;1;11"
"1760509"	"1976"	"1"	"619"	"665;91939;294;4587;1715;2016"
"1762459"	"1989"	"2"	"17"	"78;55;51;96;97;83;90;104;84;71"
"1770338"	"1994"	"1"	"120"	"50;15;9;1"
"1776404"	"1990"	"1"	"153"	"0"
"1778276"	"1999"	"1"	"180"	"46;39;26;37;87;20;40;30;99;57"
"1780574"	"1979"	"1"	"858"	"75"
"1789292"	"1990"	"1"	"152"	"2;80;55;10;51;77;4;78;1;71"
"1790125"	"1977"	"2"	"65"	"0"
"1795513"	"1998"	"1"	"51"	"71"
"1796993"	"1991"	"2"	"8"	"85;45;3;14938;20;6"
"1800183"	"1991"	"1"	"322"	"12;291399;7058;692;261;13712;5154;2447;12363;1133"
"180129"	"1992"	"1"	"156"	"0"
"1801300"	"1987"	"2"	"152"	"31;43;116;35;1;19;5;7;70"
"1801829"	"1983"	"1"	"174"	"1;2;4;19;5;32;8;18;10;21"
"1815134"	"1984"	"1"	"63"	"72;57;53;25;50;15;62;54;77;26"
"1820084"	"1998"	"1"	"259"	"0"
"1821928"	"1982"	"1"	"10"	"83;107;71;77;75;55;97;78;100;51"
"1844407"	"1989"	"2"	"58"	"0"
"1849888"	"1993"	"2"	"241"	"41;33;6;95;35"
"1856213"	"2004"	"1"	"38"	"112;83;55;117;78;71;80;51;77;110"
"1859955"	"1990"	"1"	"90"	"0"
"1869336"	"1994"	"1"	"3"	"0"
"1877841"	"1990"	"1"	"14"	"10;1;21;2"
"1880168"	"1990"	"1"	"16"	"0"
"1882631"	"1987"	"1"	"927"	"16;74;76;40;39;70;20;24"
"1884227"	"1990"	"1"	"20"	"0"
"1885303"	"2010"	"1"	"16"	"0"
"1887055"	"1989"	"1"	"535"	"0"
"1895847"	"1995"	"1"	"90"	"0"
"1900580"	"2009"	"1"	"214"	"104;112"
"1902503"	"1990"	"1"	"26"	"73;41;39;6;32;102;2;14980;27"
"1905978"	"1981"	"1"	"119"	"70;26;68;39;9;30;76;46;40"
"1907724"	"2011"	"1"	"0"	"0"
"1909772"	"2007"	"1"	"21"	"0"
"191308"	"1994"	"1"	"101"	"53;113;3;111;19;2;5;6;85;1"
"1917497"	"1997"	"1"	"18"	"4"
"1924377"	"1997"	"1"	"39"	"249;26;12;17230;658;6;1;28"
"1931478"	"1994"	"1"	"173"	"83;101;71"
"1934971"	"1986"	"1"	"71"	"41;88;12;71;8;2;9;280;64;22"
"1940762"	"2007"	"1"	"22"	"55"
"1941376"	"1992"	"2"	"117"	"0"
"1946415"	"1990"	"1"	"68"	"0"
"1946951"	"2010"	"1"	"18"	"0"
"1963865"	"1983"	"1"	"22"	"0"
"1969633"	"1996"	"1"	"156"	"0"
"1973101"	"1985"	"1"	"59"	"0"
"1974362"	"1978"	"1"	"21"	"0"
"1975420"	"1987"	"1"	"82"	"0"
"1975542"	"1995"	"1"	"22"	"6"
"1978414"	"1996"	"1"	"296"	"106;61;107;71;1436;100;101;102;114;55"
"1996883"	"1988"	"1"	"98"	"0"
"1997019"	"1991"	"2"	"62"	"0"
"2000148"	"1970"	"1"	"5"	"0"
"2001938"	"1995"	"1"	"90"	"0"
"2010916"	"1996"	"1"	"39"	"0"
"201411"	"1996"	"1"	"38"	"20;28;44;17;27;7;82"
"2017933"	"2000"	"2"	"10"	"34;6;2;30;19;14;107;1;18;23"
"202028"	"1993"	"1"	"85"	"0"
"2021320"	"1979"	"1"	"4"	"0"
"2035796"	"1990"	"0"	"285"	"95;7;6;1;42;13;12;18;11;4"
"2051124"	"1992"	"1"	"191"	"0"
"205433"	"1986"	"2"	"65"	"0"
"2055922"	"1990"	"1"	"4"	"0"
"2057136"	"1994"	"1"	"194"	"1;11;2;4"
"2058967"	"1989"	"1"	"1002"	"0"
"2066762"	"1983"	"1"	"21"	"4;11;8;5;38;78;2;49"
"2074778"	"1992"	"1"	"45"	"68102"
"207811"	"1998"	"1"	"13"	"0"
"2078933"	"1985"	"1"	"216"	"35;9;86;2;22"
"2079376"	"1997"	"1"	"512"	"0"
"2080837"	"1988"	"2"	"341"	"8;51;16;78;4;64;5;89;77;7"
"2083270"	"1997"	"1"	"25"	"0"
"2094983"	"1978"	"2"	"208"	"0"
"2099437"	"1989"	"1"	"20"	"0"
"2101873"	"1994"	"1"	"268"	"0"
"2104524"	"2011"	"1"	"60"	"4940;240982;164574"
"2108641"	"1994"	"1"	"271"	"56;12"
"2108824"	"1997"	"1"	"95"	"0"
"2116241"	"1994"	"1"	"18"	"0"
"2117727"	"1990"	"1"	"29"	"6;1;73;93;16;51;3;38;70;2"
"2268620"	"1997"	"1"	"35"	"0"
"2384439"	"1990"	"1"	"63"	"1;48;20;25"
"246821"	"1978"	"2"	"289"	"71;114;102;51"
"508395"	"1961"	"1"	"373"	"5;12;13;49;1;21;7"
"618036"	"1996"	"1"	"47"	"0"
"2135669"	"1972"	"2"	"56"	"0"
"2141067"	"1995"	"1"	"159"	"0"
"2146627"	"1978"	"1"	"36"	"0"
"214858"	"1997"	"1"	"126"	"0"
"2153991"	"1990"	"1"	"28"	"0"
"2155267"	"1989"	"1"	"187"	"0"
"2156244"	"1996"	"1"	"64"	"0"
"2157409"	"1994"	"2"	"18"	"71;51;77;55"
"2158958"	"1989"	"1"	"1225"	"661;4464;20588;334369"
"2162608"	"2006"	"1"	"365"	"0"
"2171566"	"0-0-"	"0"	"710"	"0"
"2173575"	"1995"	"1"	"202"	"74"
"2179329"	"1984"	"1"	"14"	"0"
"2179902"	"2011"	"1"	"43"	"80;75;117;104;55;105;71;77;51;78"
"2185318"	"2008"	"2"	"19"	"0"
"2186098"	"1991"	"1"	"28"	"10;1;2;11;12"
"2186988"	"1989"	"1"	"84"	"0"
"2190256"	"1911"	"1"	"0"	"67;9;93;7;62;26;46;84;15;2"
"2193818"	"1994"	"1"	"180"	"80;51;75;84;71"
"2194988"	"1989"	"1"	"144"	"0"
"2206701"	"1991"	"1"	"124"	"0"
"2209817"	"1991"	"1"	"232"	"0"
"2212327"	"1979"	"1"	"7"	"0"
"2214752"	"1993"	"2"	"10"	"0"
"2216815"	"1990"	"1"	"128"	"55;248"
"2226272"	"1994"	"1"	"529"	"0"
"2227138"	"2007"	"1"	"369"	"0"
"223014"	"1994"	"1"	"22"	"0"
"2230215"	"1992"	"1"	"11"	"0"
"2232695"	"1995"	"1"	"11"	"0"
"2236141"	"1980"	"1"	"37"	"0"
"2236737"	"1995"	"1"	"18"	"0"
"2238150"	"2001"	"2"	"26"	"0"
"224065"	"1998"	"1"	"170"	"0"
"2251489"	"1981"	"2"	"20"	"0"
"2261229"	"1990"	"1"	"133"	"0"
"2261810"	"1962"	"1"	"470"	"0"
"2262499"	"1988"	"1"	"62"	"0"
"2271537"	"1992"	"1"	"38"	"0"
"2274414"	"2010"	"1"	"119"	"0"
"2279565"	"1990"	"1"	"46"	"0"
"2282170"	"1993"	"1"	"126"	"10;4;6;5;11;2;1"
"2283030"	"1986"	"2"	"0"	"0"
"229512"	"1994"	"1"	"117"	"0"
"2302313"	"1995"	"1"	"142"	"6;40;33;22;2;1"
"2309575"	"1982"	"1"	"268"	"120;4;1;71;21;8;48;84;78;2"
"2312258"	"1972"	"2"	"48"	"0"
"2315212"	"1990"	"1"	"71"	"0"
"2327391"	"1984"	"1"	"436"	"97;51;75;80"
"2333067"	"1989"	"1"	"60"	"0"
"2333633"	"1993"	"1"	"41"	"2702;3826"
"2338409"	"1996"	"1"	"133"	"0"
"2343178"	"1989"	"2"	"58"	"0"
"2344742"	"1993"	"1"	"38"	"0"
"2351725"	"1984"	"1"	"11"	"1;5;11;10;49;55;4;8;2;77"
"2351750"	"2011"	"1"	"33"	"0"
"2353799"	"1992"	"1"	"63"	"114;105;78;80;61;51;102;71;97;96"
"2360712"	"1992"	"1"	"26"	"0"
"2369359"	"1981"	"1"	"45"	"0"
"2376682"	"1998"	"1"	"38"	"0"
"2383652"	"1990"	"2"	"542"	"0"
"2390003"	"1993"	"2"	"235"	"0"
"2398684"	"1990"	"1"	"0"	"0"
"2398905"	"1985"	"1"	"14"	"0"
"2401176"	"1991"	"1"	"35"	"0"
"2404285"	"1995"	"1"	"128"	"51;6;48;77;80;105;31;61;84;2"
"2406164"	"1990"	"1"	"4"	"0"
"2409599"	"1991"	"1"	"95"	"15;70;183;61;41;6;84;1;17"
"2412109"	"1994"	"1"	"75"	"0"
"2413702"	"1990"	"0"	"179"	"0"
"254197"	"1995"	"1"	"105"	"117;105;77;51;80;55;78;71;104"
"271024"	"1999"	"1"	"122"	"18;11;12;32;301370;56;22"
"285677"	"1995"	"1"	"84"	"0"
"286480"	"1989"	"2"	"9"	"0"
"293417"	"1997"	"2"	"381"	"36;20;30;9;68"
"299018"	"2010"	"1"	"62"	"0"
"304592"	"1990"	"1"	"62"	"71;75;117;55;77;51;78;110;112;105"
"310116"	"2009"	"1"	"913"	"1;3;4;12;11;55"
"314415"	"1994"	"2"	"587"	"10797;618;193105;46157;65443"
"326681"	"1960"	"2"	"34"	"0"
"330142"	"1988"	"2"	"523"	"3;44;1;34;4;31;35;12;2;23"
"331921"	"1997"	"1"	"251"	"43;4;34;7;3;25;18;2;1;5"
"338471"	"1989"	"2"	"75"	"0"
"339764"	"1987"	"1"	"498"	"0"
"347874"	"1990"	"2"	"5"	"0"
"356099"	"1995"	"1"	"62"	"0"
"363592"	"1988"	"1"	"611"	"1;38;16;11;5;7;22;49;21;2"
"364908"	"1991"	"2"	"166"	"26;36;39;30;37"
"372458"	"2009"	"1"	"66"	"0"
"373612"	"1891"	"2"	"19"	"55;104;75;83;105;51;71;77;80;112"
"398026"	"1986"	"1"	"5"	"39;26050;12455;46;273238;57;16"
"398966"	"1990"	"1"	"322"	"16;48;61;246;74;36;6;94;46"
"413515"	"1986"	"1"	"27"	"8;208"
"419275"	"1961"	"1"	"128"	"0"
"431257"	"1996"	"1"	"403"	"216;51"
"434184"	"1988"	"1"	"1"	"0"
"434611"	"1999"	"2"	"0"	"0"
"438060"	"2010"	"1"	"146"	"53;1216;31;4;26;108;2;45;33;101"
"439634"	"1997"	"1"	"23"	"0"
"443183"	"1990"	"1"	"238"	"0"
"447924"	"1893"	"1"	"15"	"0"
"447949"	"1996"	"1"	"130"	"3;4;2;14;43;21"
"452559"	"1986"	"1"	"1"	"0"
"453297"	"1986"	"1"	"11"	"0"
"454462"	"1999"	"1"	"39"	"0"
"466186"	"1999"	"1"	"71"	"93;80;107;17;6;61;51;2243;2"
"472628"	"1988"	"1"	"99"	"0"
"473240"	"1994"	"1"	"21"	"0"
"482886"	"1996"	"1"	"29"	"0"
"492424"	"1997"	"1"	"63"	"0"
"498229"	"1969"	"1"	"6"	"0"
"503930"	"1992"	"1"	"51"	"0"
"515095"	"1998"	"1"	"0"	"0"
"519584"	"1989"	"1"	"0"	"42;51;72;86;9;78;35;67;113;11"
"530385"	"1901"	"1"	"8"	"0"
"543975"	"1997"	"1"	"57"	"0"
"549103"	"1978"	"2"	"4"	"0"
"556160"	"1995"	"1"	"33"	"0"
"557808"	"1988"	"1"	"6"	"0"
"566153"	"1993"	"1"	"277"	"6;12;2;1;21;5;3;4;22;13"
"567876"	"1966"	"1"	"304"	"0"
"572417"	"1986"	"1"	"581"	"0"
"582748"	"2011"	"1"	"418"	"0"
"592278"	"2003"	"1"	"45"	"0"
"594371"	"2007"	"2"	"74"	"84;101;104;51;107;117;61;102;90;112"
"607054"	"1995"	"1"	"145"	"0"
"628750"	"1988"	"1"	"105"	"6;89689"
"745724"	"1990"	"1"	"441"	"104;249645;51;1332;80;123603;13191;77;23916;75"
"993491"	"1988"	"1"	"7"	"61;51;106;77;112;80;97;78;71;55"
"618783"	"1997"	"1"	"619"	"0"
"618922"	"1974"	"1"	"77"	"0"
"622490"	"1989"	"2"	"192"	"0"
"627070"	"1996"	"1"	"0"	"0"
"628369"	"1989"	"1"	"82"	"0"
"631874"	"1988"	"1"	"22"	"0"
"634414"	"1982"	"1"	"4"	"0"
"634549"	"1997"	"1"	"52"	"0"
"635184"	"1982"	"1"	"28"	"0"
"639655"	"1990"	"1"	"197"	"2;1;56"
"641049"	"1987"	"1"	"54"	"0"
"647851"	"1992"	"2"	"60"	"6"
"653223"	"1962"	"1"	"257"	"41;1020"
"660502"	"1992"	"1"	"36"	"6;12;11;55;1;4;100;78;2;22"
"667871"	"1988"	"1"	"21"	"3;1"
"668082"	"1992"	"1"	"0"	"0"
"675148"	"1988"	"1"	"32"	"78;101;80;55;105;83;61;112;75;90"
"678389"	"1990"	"1"	"318"	"71"
"680517"	"1988"	"1"	"21"	"60;8;1;15;14"
"683652"	"1985"	"1"	"49"	"0"
"690479"	"1992"	"1"	"1"	"0"
"700195"	"1986"	"2"	"9"	"0"
"700294"	"1989"	"1"	"157"	"0"
"701668"	"1982"	"1"	"13"	"0"
"710987"	"1891"	"1"	"291"	"51;48;14;41;120;181;97;8;15"
"711591"	"1988"	"1"	"17"	"0"
"711941"	"1986"	"1"	"383"	"0"
"714141"	"1998"	"1"	"17"	"6;26;9;39;62;36;54;42;40;30"
"714876"	"1988"	"1"	"323"	"44;54;49;5;3;120;8;127;42;2"
"723335"	"1985"	"1"	"113"	"23;13;11;18;10;1;2;4;81;80"
"737797"	"1990"	"1"	"4"	"0"
"742265"	"1997"	"1"	"28"	"0"
"742679"	"1988"	"1"	"753"	"0"
"746994"	"1991"	"1"	"37"	"77;83;104;51;112;107;75;71;96;97"
"753547"	"1984"	"1"	"143"	"0"
"758168"	"1986"	"1"	"0"	"32;44;80;100;38;79;51;83;4;31"
"761029"	"1986"	"1"	"1"	"0"
"761596"	"1987"	"2"	"2"	"0"
"783231"	"1980"	"1"	"0"	"0"
"788694"	"1989"	"2"	"37"	"0"
"792327"	"2011"	"2"	"0"	"0"
"797896"	"1996"	"1"	"52"	"0"
"801041"	"1991"	"1"	"19"	"22;39;9;77;6;51;16;55;1"
"813116"	"1988"	"2"	"7"	"0"
"815420"	"1988"	"1"	"0"	"0"
"817501"	"2008"	"1"	"6"	"0"
"829060"	"1989"	"1"	"1237"	"0"
"829322"	"2011"	"1"	"27"	"0"
"831041"	"1957"	"1"	"31"	"0"
"833673"	"1985"	"1"	"382"	"75;9;24;35;2;55;51;15;22;104"
"838622"	"1987"	"1"	"26"	"80;71;78;77;55;51"
"845814"	"1992"	"1"	"12"	"0"
"849536"	"1999"	"1"	"21"	"6;2;22;18;1;11;117;32;100"
"849717"	"1901"	"1"	"114"	"0"
"855774"	"1985"	"1"	"25"	"107480;55;1119;2050;79;10;71;162963;42;35"
"856348"	"1984"	"1"	"141"	"4;2;8;116;5"
"863632"	"1986"	"1"	"155"	"0"
"868138"	"1999"	"2"	"0"	"0"
"871856"	"1987"	"1"	"810"	"51;42163"
"874562"	"1989"	"1"	"10"	"35;16;3;9;27;36;42;55;51"
"876721"	"1990"	"1"	"97"	"77"
"883228"	"1987"	"1"	"32"	"0"
"887246"	"1987"	"1"	"115"	"0"
"888652"	"1996"	"1"	"189"	"0"
"902956"	"1990"	"1"	"228"	"0"
"907129"	"1991"	"1"	"65"	"0"
"910046"	"1976"	"2"	"278"	"14;21;49;38;25;5;10"
"910468"	"1990"	"1"	"81"	"0"
"920692"	"1989"	"1"	"122"	"80"
"928084"	"1982"	"1"	"20"	"0"
"932677"	"1988"	"1"	"135"	"10;5;2;1;4;56;43;13;12;7"
"933248"	"1987"	"2"	"122"	"39;76;3;13;1;28;26;8;2;85"
"937644"	"1988"	"1"	"11"	"0"
"946117"	"2010"	"2"	"134"	"6"
"949163"	"1989"	"1"	"18"	"0"
"955977"	"1984"	"1"	"22"	"0"
"965598"	"1988"	"1"	"142"	"48;35;54;128;130;6;79;59;132;44"
"966412"	"1990"	"1"	"61"	"0"
"971253"	"0-0-"	"1"	"5"	"0"
"976679"	"1997"	"1"	"83"	"1"
"983194"	"1989"	"1"	"37"	"24;12;2;22;1;7;11"
"983458"	"1991"	"1"	"8"	"0"
"992758"	"1983"	"1"	"101"	"51"
